ç,,,,,
Município,ibge,latitude,longitude,IMERS/IQA/IQA 2022 (-),IMERS/IQA/IQA 2023 (-)
Morro Reuter,4312476,"-29,539342","-51,080088","81,48148","55,608"
Mostardas,4312500,"-31,108225","-50,919159","44,54545","56,54906"
Muçum,4312609,"-29,165615","-51,866056","63,84615","70,6162"
Muitos Capões,4312617,"-28,318913","-51,184602","36,25","78,45679"
Muliterno,4312625,"-28,330265","-51,768701",94,94
Não-Me-Toque,4312658,"-28,459907","-52,819279","49,30556","75,14504"
Nicolau Vergueiro,4312674,"-28,536215","-52,462401","65,83333","83,27137"
Nonoai,4312708,"-27,354665","-52,776189","42,16867","77,05238"
Nova Alvorada,4312757,"-28,676564","-52,167134",87,"77,67461"
Nova Araçá,4312807,"-28,658176","-51,742165","58,47222","60,81926"
Nova Bassano,4312906,"-28,723469","-51,703231","73,68421","68,20476"
Nova Boa Vista,4312955,"-27,987968","-52,981477","77,6","87,61263"
Nova Bréscia,4313003,"-29,216511","-52,017984","89,69697","66,09842"
Nova Candelária,4313011,"-27,612098","-54,104114","67,1875","78,33758"
Nova Esperança do Sul,4313037,"-29,404596","-54,835873","70,90909","56,40384"
Nova Hartz,4313060,"-29,585748","-50,903793","59,05759","66,89077"
Nova Pádua,4313086,"-29,030046","-51,306825","62,45255","71,42862"
Nova Palma,4313102,"-29,473026","-53,470635","54,21053","93,16778"
Nova Petrópolis,4313201,"-29,376209","-51,106954","71,84615","66,33088"
Nova Prata,4313300,"-28,783945","-51,608996","59,60452","63,86756"
Nova Ramada,4313334,"-28,082645","-53,706937","68,27586","89,99311"
Nova Roma do Sul,4313359,"-28,984749","-51,405157",77,"82,37887"
Nova Santa Rita,4313375,"-29,848616","-51,275211","54,12234","59,65589"
Novo Barreiro,4313490,"-27,906788","-53,113499","78,62069","31,37054"
Novo Cabrais,4313391,"-29,736255","-52,955086","67,02703","81,08172"
Novo Hamburgo,4313409,"-29,686326","-51,128605","52,22514","60,68958"
Novo Machado,4313425,"-27,578401","-54,503384",43,"65,86882"
Novo Tiradentes,4313441,"-27,563558","-53,185703","74,61538","39,90385"
Novo Xingu,4313466,"-27,748115","-53,064109","62,5","85,02472"
Osório,4313508,"-29,892697","-50,266798","53,61323","62,86453"
Paim Filho,4313607,"-27,703308","-51,761597","71,66667","51,94277"
Palmares do Sul,4313656,"-30,260067","-50,506052","45,84746","50,47682"
Palmeira das Missões,4313706,"-27,900621","-53,314954","61,81818","50,49045"
Palmitinho,4313805,"-27,35602","-53,555546","78,47458","66,71276"
Panambi,4313904,"-28,292731","-53,500265","60,95975","75,11214"
Pantano Grande,4313953,"-30,194552","-52,3739","56,17391","51,57788"
Paraí,4314001,"-28,599621","-51,782096","76,38298","76,38298"
Paraíso do Sul,4314027,"-29,731314","-53,1791","49,7619","74,6972"
Pareci Novo,4314035,"-29,639389","-51,39887","51,11111","76,97198"
Parobé,4314050,"-29,631749","-50,834866","54,05646","65,73657"
Passa Sete,4314068,"-29,451666","-52,963983","69,74359","77,5497"
Passo do Sobrado,4314076,"-29,745794","-52,278758","58,52941","81,51573"
Passo Fundo,4314100,"-28,261767","-52,407095","50,42081","59,82543"
Paulo Bento,4314134,"-27,7041","-52,422436","66,66667","78,52469"
Paverama,4314159,"-29,554856","-51,730293","51,84615","69,42584"
Pedras Altas,4314175,"-31,733637","-53,58717","30,58824","71,82717"
Pedro Osório,4314209,"-31,863828","-52,826312","37,65957","65,21377"
Pejuçara,4314308,"-28,421586","-53,656542","88,70968","57,78821"
Pelotas,4314407,"-31,719598","-52,34432","41,33404","53,16608"
Picada Café,4314423,"-29,454384","-51,06405",75,"75,27205"
Pinhal,4314456,"-27,511674","-53,214706","72,59259","77,7656"
Pinhal da Serra,4314464,"-27,876665","-51,170103",79,"56,88846"
Pinhal Grande,4314472,"-29,33536","-53,338638",65,"56,5998"
Pinheirinho do Vale,4314498,"-27,209763","-53,619561",60,"67,70736"
Pinheiro Machado,4314506,"-31,580593","-53,38462","50,79365","50,38128"
Pinto Bandeira,4314548,"-54,45","-29,1","78,46154","61,67356"
Pirapó,4314555,"-28,045316","-55,20031","62,45255","65,86882"
Piratini,4314605,"-31,444112","-53,104734","42,35294","73,46496"
Planalto,4314704,"-27,331464","-53,058881","52,92308","77,96943"
Poço das Antas,4314753,"-29,454546","-51,67089","65,55556","94,128"
Pontão,4314779,"-28,061841","-52,675399","35,83333","79,15684"
Ponte Preta,4314787,"-27,65704","-52,490232","79,41176","54,16027"
Portão,4314803,"-29,696259","-51,23015","56,51765","57,16893"
Porto Alegre,4314902,"-30,030037","-51,22866","40,05917","41,40887"
Porto Lucena,4315008,"-27,851375","-55,011562","78,57143","53,94523"
Porto Mauá,4315057,"-27,578635","-54,671952",49,"55,46016"
Porto Vera Cruz,4315073,"-27,734374","-54,899032","62,45255","47,619"
Porto Xavier,4315107,"-27,90569","-55,13956",66,"62,08155"
Pouso Novo,4315131,"-29,169761","-52,21087","75,83333",100
Presidente Lucena,4315149,"-29,526127","-51,1816","59,18919","76,52761"
Progresso,4315156,"-29,240309","-52,301717","59,35484","86,12557"
Protásio Alves,4315172,"-28,756713","-51,473632","58,26087","78,28472"
Putinga,4315206,"-28,998756","-52,159911","58,27586","88,36821"
Quaraí,4315305,"-30,382868","-56,453647","49,45205","54,79736"
Quatro Irmãos,4315313,"-27,821197","-52,442769","72,10526","23,8542"
Quevedos,4315321,"-29,351921","-54,071255","62,45255","65,86882"
Quinze de Novembro,4315354,"-28,742361","-53,096722","72,77778","58,95774"
Redentora,4315404,"-27,66154","-53,641934","86,47059","87,79471"
Relvado,4315453,"-29,112279","-52,072949","78,66667","83,79277"
Restinga Sêca,4315503,"-29,813949","-53,370569","55,97938","47,56396"
Rio dos Índios,4315552,"-27,298398","-52,840058","62,45255",69
Rio Grande,4315602,"-32,050446","-52,08677","44,56536","66,2138"
Rio Pardo,4315701,"-29,985626","-52,379018","54,90566","84,08914"
Riozinho,4315750,"-29,642286","-50,473818",75,"45,90994"
Roca Sales,4315800,"-29,28507","-51,863892","60,91954","65,86882"
Rodeio Bonito,4315909,"-27,470403","-53,168531",90,"60,1117"
Rolador,4315958,"-28,256344","-54,819427","62,45255","65,86882"
Rolante,4316006,"-29,640763","-50,573442","63,31429","90,8614"
Ronda Alta,4316105,"-27,781931","-52,806534",86,"56,13323"
Rondinha,4316204,"-27,831816","-52,90616","92,10526","83,55186"
Roque Gonzales,4316303,"-28,135367","-55,029186","54,25","83,07277"
Rosário do Sul,4316402,"-30,244033","-54,945761","52,05882","36,977"
Sagrada Família,4316428,"-27,706731","-53,135652","68,69565","77,96653"
Saldanha Marinho,4316436,"-28,403286","-53,094107","56,45161","76,69942"
Salto do Jacuí,4316451,"-29,088681","-53,21331","40,55556","74,36269"
Salvador das Missões,4316477,"-28,121697","-54,837742","72,66667","90,66262"
Salvador do Sul,4316501,"-29,439732","-51,509421","62,30769","79,06722"
Sananduva,4316600,"-27,944007","-51,813502","67,95699","70,82066"
Santa Bárbara do Sul,4316709,"-28,365167","-53,250527","52,46154","79,67971"
Santa Cecília do Sul,4316733,"-28,164451","-51,926671","72,77778","78,98095"
Santa Clara do Sul,4316758,"-29,463596","-52,080926","78,57143","79,86304"
Santa Cruz do Sul,4316808,"-29,719768","-52,429929","58,31206","52,62834"
Santa Margarida do Sul,4316972,"-30,345103","-54,090955","59,21053","40,4895"
Santa Maria,4316907,"-29,685582","-53,808675","55,81741","53,8923"
Santa Maria do Herval,4316956,"-29,503516","-50,987255","64,90909","79,18647"
Santa Rosa,4317202,"-27,86675","-54,478224","60,3956","72,74673"
Santa Tereza,4317251,"-29,171634","-51,734344","76,66667","84,33333"
Santa Vitória do Palmar,4317301,"-33,51986","-53,367006","49,64981","54,39988"
Santana da Boa Vista,4317004,"-30,874703","-53,115875","46,76923","74,69121"
Santana do Livramento,4317103,"-30,889384","-55,534814",53,"51,71969"
Santiago,4317400,"-29,19146","-54,869076","60,69565","70,23207"
Santo Ângelo,4317509,"-28,301938","-54,264143","49,84211","71,49835"
Santo Antônio da Patrulha,4317608,"-29,832034","-50,520986","62,04762","76,69203"
Santo Antônio das Missões,4317707,"-28,508097","-55,224557","70,85714","47,28119"
Santo Antônio do Palma,4317558,"-28,497445","-52,024633","66,19048","68,75811"
Santo Antônio do Planalto,4317756,"-28,395929","-52,683726","61,90476","53,02735"
Santo Augusto,4317806,"-27,853491","-53,77885","61,36","70,90986"
Santo Cristo,4317905,"-27,81993","-54,668748","70,1626","69,2303"
Santo Expedito do Sul,4317954,"-27,909369","-51,643572","54,7619","93,56502"
São Borja,4318002,"-28,662838","-56,001029","53,52113","74,38987"
São Domingos do Sul,4318051,"-28,531763","-51,893187","62,45255","47,49999"
São Francisco de Assis,4318101,"-29,552716","-55,132386","46,4","49,13256"
